model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,log_loss,brier_score,mcc
CatBoost,0.568375,0.5622045776211924,0.5572427572427573,0.44073957016434895,0.4921909467925527,0.5940160591027629,0.5603893619994249,0.6777782468437855,0.2424268692614929,0.12829770522287573
LightGBM,0.567325,0.5611976992305423,0.5557105840143512,0.44058154235145386,0.4914940502423975,0.5927329227898683,0.5599214989399398,0.6781293139151539,0.2425982589164676,0.1261608869711021
XGBoost,0.564625,0.5593489081663705,0.5498887122416534,0.4554888327012221,0.49825693624132067,0.5885300128423414,0.5556343789126685,0.6803120247650277,0.24361152946949005,0.12134913236605871
LogisticRegression,0.565575,0.559094291091362,0.5543750422954592,0.4315212810788032,0.4852936820591807,0.5875671718463535,0.5540944857051329,0.6797218904715386,0.24337092388994555,0.12227929008169833
