feature,importance
shipping_method_express,0.08029862344615309
used_coupon,0.06801279835800197
product_category_electronics,0.053349753524703135
payment_method_apple_pay,0.046420794550192185
shipping_method_standard,0.041206568722609985
discount_x_coupon,0.03853648722828496
device_type_desktop,0.03787437385819574
device_type_mobile,0.03761843166287075
product_category_clothing,0.03568587643629743
payment_method_debit_card,0.021581022417121464
past_purchase_count,0.021222013910121355
delivery_delay_days,0.019874645295751007
product_category_toys,0.019669721347757144
log_product_price,0.017970933151496574
session_length_minutes,0.01795684559971787
customer_age,0.01773155387796308
delay_x_rating,0.017695821159371686
discount_percent,0.017500341812398065
past_return_rate,0.017042253150721744
num_product_views,0.017032241924729383
view_x_session,0.017030518211345987
product_rating,0.016936170605707714
log_paid_amount,0.016863093853037584
shipping_method_same_day,0.01669168316493369
discount_amount,0.016636194184543217
log_session_length,0.016567485962927966
price_x_discount,0.016551140135213138
log_num_product_views,0.01652568115261178
rating_x_return,0.01648250238722595
product_price,0.01623269966490091
views_x_rating,0.016196867631543665
product_category_home,0.01577468008901271
paid_amount,0.01562059970758565
price_x_rating,0.015565497094987437
price_per_view,0.01471114528429902
paid_amount_per_view,0.014404089624756238
is_delayed,0.0136952590568523
is_early,0.013664958654577598
device_type_tablet,0.012435902876007474
payment_method_paypal,0.012253705844093216
high_discount,0.011939288954221432
payment_method_credit_card,0.011606908643374337
product_category_beauty,0.010763825811170644
product_category_sports,0.010568999970611703
