feature,importance
discount_x_coupon,0.04366684002598492
delivery_delay_days,0.04329376751120329
delay_x_rating,0.040788205623896776
past_return_rate,0.03801849302012689
rating_x_return,0.0373859228214437
log_session_length,0.03725631106431221
product_rating,0.03676061506060302
session_length_minutes,0.03674271521229677
discount_percent,0.0351648164968056
price_x_rating,0.03419349796223061
shipping_method_express,0.03407448669926124
price_x_discount,0.03360394618227351
discount_amount,0.03342552829541581
view_x_session,0.03248630252968627
views_x_rating,0.032309509133520826
price_per_view,0.03188744621979101
paid_amount_per_view,0.031652286944178626
paid_amount,0.03075973449712151
log_product_price,0.0307332634714437
product_price,0.030631405918663892
customer_age,0.030358444115539993
log_paid_amount,0.030151674141248846
past_purchase_count,0.02768691633731829
product_category_electronics,0.021747894415785354
log_num_product_views,0.019715274769294678
num_product_views,0.019447023832070996
used_coupon,0.01891343515375458
payment_method_apple_pay,0.018384414637016542
shipping_method_standard,0.017269496016446322
device_type_mobile,0.015421434647171401
device_type_desktop,0.01483574715150338
product_category_clothing,0.013820251561589735
payment_method_debit_card,0.00757174259838566
product_category_toys,0.006353136282673602
shipping_method_same_day,0.00600667420590058
product_category_home,0.004998331497734555
device_type_tablet,0.003737398222191944
payment_method_paypal,0.0034136169851769144
product_category_beauty,0.0032337584567639858
product_category_sports,0.003031054716875245
payment_method_credit_card,0.002988302887464459
is_early,0.0022625877433527777
is_delayed,0.0022234432013354586
high_discount,0.0015928517331445465
