feature,importance
used_coupon,0.10603772966668051
shipping_method_express,0.10590257342006712
product_category_electronics,0.06790645148007972
past_purchase_count,0.057154719425279256
product_price,0.05621258939333392
payment_method_apple_pay,0.05478511191489736
delivery_delay_days,0.04951973995839255
session_length_minutes,0.04702452725496197
device_type_mobile,0.046068107791066154
discount_percent,0.044048410785917085
past_return_rate,0.043569044446572974
shipping_method_standard,0.043287580575246294
product_category_clothing,0.04291508745238302
product_rating,0.03966924198451278
device_type_desktop,0.03584441101122422
customer_age,0.030805125600824792
num_product_views,0.029772568577638166
product_category_toys,0.02097322608567712
payment_method_debit_card,0.018233273642566886
product_category_home,0.013999205234636953
shipping_method_same_day,0.012907308904077595
product_category_beauty,0.008478901267877115
product_category_sports,0.006904836319888759
device_type_tablet,0.006563015752771131
payment_method_credit_card,0.005998252685534788
payment_method_paypal,0.005418959367891898
