feature,importance
shipping_method_express,10.960256791548968
past_purchase_count,7.000241208513961
discount_x_coupon,6.173785750989282
product_category_electronics,6.0585705052228125
used_coupon,5.1315734056378
payment_method_apple_pay,4.6873320805719025
product_category_clothing,4.025947127681953
delivery_delay_days,3.646767852657226
device_type_desktop,3.6446314596304408
device_type_mobile,3.587434393895926
discount_percent,2.957862006541859
product_rating,2.824736682380896
past_return_rate,2.5697648524949077
delay_x_rating,2.4793264054474187
customer_age,2.4239262529232892
log_session_length,2.1233663302581967
session_length_minutes,2.091144329845478
rating_x_return,1.992665416384984
product_category_home,1.9063961965516147
view_x_session,1.9010760761364285
payment_method_debit_card,1.8148780947198304
num_product_views,1.8081557914507793
product_category_toys,1.7216788061497021
log_product_price,1.5908423167666685
log_num_product_views,1.5750310940169603
price_x_rating,1.507064191971881
product_price,1.3310998533816385
discount_amount,1.0144697875855786
product_category_sports,1.0014662109037324
shipping_method_same_day,0.9407896273425038
price_x_discount,0.9126103873723783
paid_amount,0.9034699942507678
price_per_view,0.895879320423346
paid_amount_per_view,0.8702281182143594
views_x_rating,0.8598556919744659
log_paid_amount,0.7192471274452594
payment_method_paypal,0.6763275235202576
product_category_beauty,0.557849550938726
shipping_method_standard,0.35217726275235856
payment_method_credit_card,0.2994603124479851
is_early,0.24139251239268267
device_type_tablet,0.1286850254065441
is_delayed,0.09053627325623237
high_discount,0.0
