feature,importance
used_coupon,0.26238393264370247
product_category_clothing,0.25554870438338395
product_category_electronics,0.24403307216653897
shipping_method_express,0.23515238959253015
payment_method_apple_pay,0.16839386273215418
shipping_method_same_day,0.15137609463761773
device_type_mobile,0.14808670347525132
device_type_desktop,0.13365897928239093
product_category_home,0.12020640394158481
shipping_method_standard,0.11050244280886852
payment_method_debit_card,0.11028860161952553
product_category_toys,0.10311010028825132
high_discount,0.08328641343084675
product_category_sports,0.07830772855227222
payment_method_paypal,0.07546796942124945
delivery_delay_days,0.0623854618640667
product_category_beauty,0.05716225213586082
log_product_price,0.05081219095657337
log_num_product_views,0.04622949189063108
past_purchase_count,0.04560787555379929
num_product_views,0.044844541351167555
session_length_minutes,0.04398328891766815
past_return_rate,0.043672146039598285
log_paid_amount,0.04082049724006879
discount_percent,0.03738434712850239
product_rating,0.032445281596986786
price_x_rating,0.02354809673040803
paid_amount,0.020975949252802342
is_delayed,0.02080771334069112
product_price,0.020030649084457362
rating_x_return,0.01997626466631591
paid_amount_per_view,0.01580884979386671
log_session_length,0.01578728412146078
customer_age,0.014976853874006026
views_x_rating,0.013942494345571974
device_type_tablet,0.01229842366211296
price_x_discount,0.012196608769429698
discount_amount,0.012196608769427185
discount_x_coupon,0.011999391486781696
payment_method_credit_card,0.009363439545105042
is_early,0.005918434514973251
view_x_session,0.0016341248566099124
price_per_view,0.0006961647213387653
delay_x_rating,0.0003010687798896157
